,State,Year,Total_Registered_Users,Prev_Year_Users,YoY_Growth_Percentage
138,madhya-pradesh,2023,204465706,170441416,19.96
139,madhya-pradesh,2024,244407528,204465706,19.53
140,maharashtra,2018,76292000,,
141,maharashtra,2019,160239608,76292000,110.03
142,maharashtra,2020,241551240,160239608,50.74
143,maharashtra,2021,329611914,241551240,36.46
144,maharashtra,2022,416834092,329611914,26.46
145,maharashtra,2023,495621502,416834092,18.90
146,maharashtra,2024,560126130,495621502,13.01
147,manipur,2018,441008,,
148,manipur,2019,1017896,441008,130.81
149,manipur,2020,1880410,1017896,84.73
150,manipur,2021,2795144,1880410,48.65
151,manipur,2022,3561636,2795144,27.42
152,manipur,2023,4247676,3561636,19.26
153,manipur,2024,4834492,4247676,13.81
154,meghalaya,2018,264092,,
155,meghalaya,2019,647316,264092,145.11
156,meghalaya,2020,1168426,647316,80.50
157,meghalaya,2021,1719776,1168426,47.19
158,meghalaya,2022,2209182,1719776,28.46
159,meghalaya,2023,2632636,2209182,19.17
160,meghalaya,2024,3729136,2632636,41.65
161,mizoram,2018,103764,,
162,mizoram,2019,252618,103764,143.45
163,mizoram,2020,498238,252618,97.23
164,mizoram,2021,774708,498238,55.49
165,mizoram,2022,994870,774708,28.42
166,mizoram,2023,1185634,994870,19.17
167,mizoram,2024,1592290,1185634,34.30
168,nagaland,2018,225194,,
169,nagaland,2019,588006,225194,161.11
170,nagaland,2020,1205284,588006,104.98
171,nagaland,2021,1865864,1205284,54.81
172,nagaland,2022,2394356,1865864,28.32
173,nagaland,2023,2868650,2394356,19.81
174,nagaland,2024,3447996,2868650,20.20
175,odisha,2018,20398850,,
176,odisha,2019,41337698,20398850,102.65
177,odisha,2020,60823582,41337698,47.14
178,odisha,2021,82351526,60823582,35.39
179,odisha,2022,105094580,82351526,27.62
180,odisha,2023,125905190,105094580,19.80
181,odisha,2024,144099264,125905190,14.45
182,puducherry,2018,611876,,
183,puducherry,2019,1343354,611876,119.55
184,puducherry,2020,2182614,1343354,62.47
185,puducherry,2021,3072032,2182614,40.75
186,puducherry,2022,3873866,3072032,26.10
187,puducherry,2023,4605276,3873866,18.88
188,puducherry,2024,5125278,4605276,11.29
189,punjab,2018,10676390,,
190,punjab,2019,22222314,10676390,108.14
191,punjab,2020,35634168,22222314,60.35
192,punjab,2021,49720580,35634168,39.53
193,punjab,2022,63130322,49720580,26.97
194,punjab,2023,74976924,63130322,18.77
195,punjab,2024,86503804,74976924,15.37
196,rajasthan,2018,37810714,,
197,rajasthan,2019,74436948,37810714,96.87
198,rajasthan,2020,114008320,74436948,53.16
199,rajasthan,2021,158237480,114008320,38.79
200,rajasthan,2022,202827826,158237480,28.18
201,rajasthan,2023,242846340,202827826,19.73
202,rajasthan,2024,281381358,242846340,15.87
203,sikkim,2018,268646,,
204,sikkim,2019,610110,268646,127.11
205,sikkim,2020,1015736,610110,66.48
206,sikkim,2021,1428106,1015736,40.60
207,sikkim,2022,1809206,1428106,26.69
208,sikkim,2023,2141144,1809206,18.35
209,sikkim,2024,2463060,2141144,15.03
210,tamil-nadu,2018,28401690,,
211,tamil-nadu,2019,63550480,28401690,123.76
212,tamil-nadu,2020,104048382,63550480,63.73
213,tamil-nadu,2021,147995464,104048382,42.24
214,tamil-nadu,2022,187305632,147995464,26.56
215,tamil-nadu,2023,222892998,187305632,19.00
216,tamil-nadu,2024,258778898,222892998,16.10
217,telangana,2018,38487710,,
218,telangana,2019,76641360,38487710,99.13
219,telangana,2020,112407460,76641360,46.67
220,telangana,2021,151977752,112407460,35.20
221,telangana,2022,191254934,151977752,25.84
222,telangana,2023,226836392,191254934,18.60
223,telangana,2024,251635432,226836392,10.93
224,tripura,2018,817330,,
225,tripura,2019,1837304,817330,124.79
226,tripura,2020,2844938,1837304,54.84
227,tripura,2021,3936020,2844938,38.35
228,tripura,2022,5051580,3936020,28.34
229,tripura,2023,6069860,5051580,20.16
230,tripura,2024,7168222,6069860,18.10
231,uttar-pradesh,2018,59150502,,
232,uttar-pradesh,2019,121538318,59150502,105.47
233,uttar-pradesh,2020,189444050,121538318,55.87
234,uttar-pradesh,2021,263807012,189444050,39.25
235,uttar-pradesh,2022,338867102,263807012,28.45
236,uttar-pradesh,2023,406613254,338867102,19.99
237,uttar-pradesh,2024,505248054,406613254,24.26
238,uttarakhand,2018,5909800,,
239,uttarakhand,2019,11955660,5909800,102.30
240,uttarakhand,2020,18107710,11955660,51.46
241,uttarakhand,2021,24999372,18107710,38.06
242,uttarakhand,2022,31811820,24999372,27.25
243,uttarakhand,2023,37883018,31811820,19.08
244,uttarakhand,2024,43194470,37883018,14.02
245,west-bengal,2018,35139204,,
246,west-bengal,2019,73181000,35139204,108.26
247,west-bengal,2020,110586606,73181000,51.11
248,west-bengal,2021,149513166,110586606,35.20
249,west-bengal,2022,189905208,149513166,27.02
250,west-bengal,2023,227183034,189905208,19.63
251,west-bengal,2024,264420498,227183034,16.39
